kód,obec,kraj,počet obyv.,datum,datum-7,"dnes (ČR: 68,3)",dnes,dnes-7,změna,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,12.10.23,19.10.23,26.10.23,2.11.23,9.11.23,16.11.23,23.11.23,30.11.23,7.12.23,14.12.23,21.12.23,28.12.23,4.1.24,11.1.24,18.1.24,25.1.24,1.2.24,8.2.24,15.2.24,22.2.24,29.2.24,7.3.24,14.3.24,21.3.24,28.3.24,4.4.24,11.4.24,18.4.24,25.4.24,2.5.24,9.5.24,16.5.24,23.5.24,30.5.24,6.6.24,13.6.24,20.6.24,27.6.24,4.7.24,11.7.24,18.7.24,25.7.24,1.8.24,8.8.24,15.8.24,22.8.24,29.8.24,5.9.24,12.9.24,19.9.24,26.9.24,3.10.24,4.10.24,5.10.24,6.10.24,7.10.24,8.10.24,9.10.24,10.10.24
5312,Svitavy,53,31020,10. 10. 2024,3. 10. 2024,"74,1","74,1","35,5","38,7",39,39,32,89,36,57,57,100,64,100,71,14,21,43,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,4,4,4,7,7,0,11,39,"35,5","35,5","29,0","80,6","32,2","51,6","51,6","90,3","58,0","90,3","64,5","12,9","19,3","38,7","6,4","6,4","0,0","3,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,2","0,0","0,0","0,0","0,0","3,2","0,0","0,0","0,0","3,2","3,2","3,2","6,4","6,4","0,0","9,7","35,5","35,5","51,6","48,4","48,4","74,1","83,8","64,5","74,1"
5313,Ústí nad Orlicí,53,26493,10. 10. 2024,3. 10. 2024,"79,3","79,3","132,1","-52,8",9,20,24,27,29,20,69,67,96,80,100,40,22,11,9,2,7,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,7,0,2,7,4,11,4,2,27,44,36,"15,1","34,0","41,5","45,3","49,1","34,0","117,0","113,2","162,3","135,9","169,9","67,9","37,7","18,9","15,1","3,8","11,3","0,0","7,5","7,5","3,8","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,8","0,0","0,0","0,0","0,0","0,0","0,0","7,5","11,3","0,0","3,8","11,3","7,5","18,9","7,5","3,8","45,3","75,5","60,4","132,1","128,3","128,3","128,3","117,0","117,0","105,7","79,3"
5314,Vysoké Mýto,53,32804,10. 10. 2024,3. 10. 2024,"143,3","143,3","167,7","-24,4",27,25,38,48,64,41,67,73,74,66,100,33,58,33,41,18,8,15,7,3,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4,1,1,0,0,4,7,4,8,8,14,18,37,66,86,"61,0","54,9","85,4","106,7","143,3","91,5","149,4","161,6","164,6","146,3","222,5","73,2","128,0","73,2","91,5","39,6","18,3","33,5","15,2","6,1","6,1","3,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,0","3,0","0,0","0,0","0,0","3,0","9,1","3,0","3,0","0,0","0,0","9,1","15,2","9,1","18,3","18,3","30,5","39,6","82,3","146,3","192,0","167,7","152,4","152,4","152,4","170,7","149,4","140,2","143,3"
5315,Žamberk,53,29480,10. 10. 2024,3. 10. 2024,"91,6","91,6","108,5","-17,0",16,32,32,51,41,41,51,70,100,76,86,22,19,11,24,11,8,14,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,5,14,24,5,27,35,78,"20,4","40,7","40,7","64,5","50,9","50,9","64,5","88,2","125,5","95,0","108,5","27,1","23,7","13,6","30,5","13,6","10,2","17,0","3,4","0,0","3,4","0,0","0,0","0,0","0,0","0,0","0,0","3,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,4","0,0","0,0","0,0","0,0","6,8","0,0","6,8","17,0","30,5","6,8","33,9","44,1","98,4","108,5","111,9","111,9","111,9","118,7","132,3","108,5","91,6"
6301,Bystřice nad Pernštejnem,63,19675,10. 10. 2024,3. 10. 2024,"55,9","55,9","50,8","5,1",9,5,18,41,55,41,41,45,55,100,55,55,45,18,14,5,9,14,0,9,9,0,5,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,5,5,0,9,9,14,9,14,0,23,18,36,"10,2","5,1","20,3","45,7","61,0","45,7","45,7","50,8","61,0","111,8","61,0","61,0","50,8","20,3","15,2","5,1","10,2","15,2","0,0","10,2","10,2","0,0","5,1","0,0","0,0","0,0","0,0","0,0","5,1","5,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,1","5,1","0,0","10,2","10,2","15,2","10,2","15,2","0,0","25,4","20,3","40,7","50,8","50,8","50,8","55,9","61,0","61,0","76,2","55,9"
6302,Havlíčkův Brod,63,53841,10. 10. 2024,3. 10. 2024,"70,6","70,6","92,9","-22,3",25,41,24,45,39,30,42,57,72,100,86,34,41,25,10,23,7,13,1,6,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,2,4,5,7,11,14,14,30,45,"39,0","63,1","37,1","68,7","59,4","46,4","65,0","87,3","111,4","154,2","131,9","52,0","63,1","39,0","14,9","35,3","11,1","20,4","1,9","9,3","0,0","0,0","0,0","1,9","0,0","0,0","1,9","1,9","0,0","0,0","0,0","1,9","0,0","1,9","0,0","1,9","1,9","1,9","0,0","1,9","0,0","1,9","3,7","5,6","7,4","11,1","16,7","22,3","22,3","46,4","68,7","92,9","89,2","89,2","89,2","81,7","79,9","74,3","70,6"
6303,Humpolec,63,18492,10. 10. 2024,3. 10. 2024,"140,6","140,6","119,0","21,6",14,30,14,16,35,30,44,56,100,79,72,16,30,26,12,12,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,9,5,9,12,19,77,"32,4","70,3","32,4","37,9","81,1","70,3","102,7","129,8","232,5","183,9","167,6","37,9","70,3","59,5","27,0","27,0","5,4","5,4","5,4","0,0","0,0","0,0","0,0","0,0","5,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","10,8","10,8","0,0","21,6","10,8","21,6","27,0","43,3","178,5","119,0","146,0","146,0","151,4","146,0","156,8","140,6","140,6"
6304,Chotěboř,63,21745,10. 10. 2024,3. 10. 2024,"179,4","179,4","184,0","-4,6",15,23,52,37,56,35,65,77,79,94,100,17,27,21,17,8,4,10,4,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,4,4,0,12,4,15,12,27,42,44,63,"36,8","55,2","124,2","87,4","133,4","82,8","156,4","184,0","188,5","225,3","239,1","41,4","64,4","50,6","41,4","18,4","9,2","23,0","9,2","0,0","0,0","4,6","4,6","0,0","0,0","0,0","0,0","0,0","0,0","4,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,6","0,0","0,0","9,2","9,2","0,0","27,6","9,2","36,8","27,6","64,4","101,2","105,8","151,8","184,0","197,7","197,7","206,9","257,5","229,9","211,5","179,4"
6305,Jihlava,63,102996,10. 10. 2024,3. 10. 2024,"81,6","81,6","66,0","15,5",19,16,33,27,39,74,54,83,85,100,75,24,40,9,18,13,2,3,0,2,0,0,0,2,0,0,0,0,0,1,3,3,0,1,1,0,0,1,0,0,1,3,5,2,5,7,12,15,19,17,53,"20,4","17,5","35,0","29,1","41,7","78,6","57,3","88,4","91,3","106,8","79,6","25,2","42,7","9,7","19,4","13,6","1,9","2,9","0,0","1,9","0,0","0,0","0,0","1,9","0,0","0,0","0,0","0,0","0,0","1,0","2,9","2,9","0,0","1,0","1,0","0,0","0,0","1,0","0,0","0,0","1,0","2,9","5,8","1,9","4,9","7,8","12,6","15,5","20,4","18,4","56,3","66,0","70,9","68,9","70,9","86,4","85,4","81,6","81,6"
6306,Moravské Budějovice,63,22919,10. 10. 2024,3. 10. 2024,"100,4","100,4","65,4","34,9",6,14,14,46,46,49,34,51,100,97,60,31,34,17,6,11,3,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,3,0,6,9,0,3,23,43,26,83,66,"8,7","21,8","21,8","69,8","69,8","74,2","52,4","78,5","152,7","148,3","91,6","48,0","52,4","26,2","8,7","17,5","4,4","8,7","0,0","4,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,4","0,0","0,0","0,0","0,0","8,7","0,0","0,0","4,4","0,0","8,7","13,1","0,0","4,4","34,9","65,4","39,3","126,5","100,4","65,4","61,1","61,1","61,1","78,5","78,5","87,3","100,4"
6307,Náměšť nad Oslavou,63,13566,10. 10. 2024,3. 10. 2024,"184,3","184,3","117,9","66,3",12,5,40,9,26,30,21,65,40,100,44,2,26,9,12,2,2,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,9,0,5,12,44,"36,9","14,7","125,3","29,5","81,1","95,8","66,3","206,4","125,3","317,0","140,1","7,4","81,1","29,5","36,9","7,4","7,4","22,1","7,4","14,7","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","7,4","7,4","0,0","0,0","0,0","29,5","0,0","14,7","36,9","140,1","117,9","132,7","132,7","132,7","117,9","125,3","132,7","184,3"
6308,Nové Město na Moravě,63,19419,10. 10. 2024,3. 10. 2024,"72,1","72,1","92,7","-20,6",18,25,30,38,50,48,65,62,57,70,85,28,30,20,5,8,10,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,2,2,10,5,2,8,5,15,32,100,"36,0","51,5","61,8","77,2","103,0","97,8","133,9","128,7","118,4","144,2","175,1","56,6","61,8","41,2","10,3","15,4","20,6","0,0","5,1","0,0","5,1","0,0","0,0","5,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,1","0,0","0,0","15,4","5,1","5,1","20,6","10,3","5,1","15,4","10,3","30,9","66,9","206,0","92,7","103,0","103,0","103,0","77,2","66,9","82,4","72,1"
6309,Pacov,63,9478,10. 10. 2024,3. 10. 2024,"116,1","116,1","105,5","10,6",11,0,37,0,11,53,21,74,79,100,42,5,42,5,5,0,5,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,0,0,0,5,5,5,16,5,16,5,11,5,11,"21,1","0,0","73,9","0,0","21,1","105,5","42,2","147,7","158,3","200,5","84,4","10,6","84,4","10,6","10,6","0,0","10,6","21,1","0,0","21,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","31,7","10,6","0,0","0,0","0,0","10,6","10,6","10,6","31,7","10,6","31,7","10,6","21,1","10,6","21,1","105,5","126,6","126,6","126,6","137,2","137,2","147,7","116,1"
6310,Pelhřimov,63,46163,10. 10. 2024,3. 10. 2024,"95,3","95,3","84,5","10,8",8,10,28,17,42,44,65,83,71,100,58,20,37,8,12,3,1,2,3,0,0,0,1,1,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,5,2,6,1,1,7,6,12,15,38,"15,2","19,5","52,0","32,5","78,0","82,3","121,3","153,8","132,1","186,3","108,3","36,8","69,3","15,2","21,7","6,5","2,2","4,3","6,5","0,0","0,0","0,0","2,2","2,2","2,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","6,5","0,0","0,0","0,0","4,3","0,0","0,0","0,0","0,0","8,7","4,3","10,8","2,2","2,2","13,0","10,8","21,7","28,2","71,5","84,5","88,8","88,8","86,6","95,3","86,6","95,3","95,3"
6311,Světlá nad Sázavou,63,19590,10. 10. 2024,3. 10. 2024,"91,9","91,9","142,9","-51,0",23,32,45,39,55,52,58,100,65,71,97,39,16,29,13,6,0,3,16,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,10,0,6,3,6,10,16,16,55,48,"35,7","51,0","71,5","61,3","86,8","81,7","91,9","158,2","102,1","112,3","153,1","61,3","25,5","45,9","20,4","10,2","0,0","5,1","25,5","0,0","0,0","0,0","0,0","0,0","5,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,1","0,0","0,0","5,1","0,0","0,0","15,3","0,0","10,2","5,1","10,2","15,3","25,5","25,5","86,8","76,6","142,9","137,8","137,8","137,8","137,8","137,8","137,8","91,9"
6312,Telč,63,13045,10. 10. 2024,3. 10. 2024,"38,3","38,3","61,3","-23,0",19,15,15,8,31,58,100,81,58,88,38,23,27,8,15,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,4,8,19,27,38,"38,3","30,7","30,7","15,3","61,3","115,0","199,3","161,0","115,0","176,3","76,7","46,0","53,7","15,3","30,7","0,0","15,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","7,7","23,0","7,7","15,3","38,3","53,7","76,7","61,3","38,3","38,3","38,3","38,3","46,0","46,0","38,3"
6313,Třebíč,63,73908,10. 10. 2024,3. 10. 2024,"115,0","115,0","105,5","9,5",13,26,22,37,37,57,60,90,100,83,63,28,33,28,11,6,5,2,2,0,0,3,3,1,1,0,0,0,0,0,0,0,1,0,2,2,1,0,2,3,3,3,6,8,10,9,21,22,17,39,79,"20,3","40,6","33,8","58,2","58,2","87,9","93,4","140,7","155,6","129,9","98,8","43,3","51,4","43,3","17,6","9,5","8,1","2,7","2,7","0,0","0,0","4,1","4,1","1,4","1,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,4","0,0","2,7","2,7","1,4","0,0","2,7","4,1","4,1","5,4","9,5","12,2","14,9","13,5","32,5","33,8","25,7","60,9","123,1","105,5","123,1","123,1","124,5","121,8","116,4","109,6","115,0"
6314,Velké Meziříčí,63,37205,10. 10. 2024,3. 10. 2024,"72,6","72,6","56,4","16,1",9,30,50,28,39,26,35,48,63,74,100,35,30,13,9,4,2,4,0,4,0,2,4,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,2,0,0,7,15,9,11,17,30,65,"10,8","37,6","61,8","34,9","48,4","32,3","43,0","59,1","77,9","91,4","123,6","43,0","37,6","16,1","10,8","5,4","2,7","5,4","0,0","5,4","0,0","2,7","5,4","0,0","2,7","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,7","0,0","2,7","0,0","0,0","0,0","2,7","0,0","2,7","2,7","0,0","0,0","8,1","18,8","10,8","13,4","21,5","37,6","80,6","56,4","56,4","56,4","59,1","64,5","64,5","69,9","72,6"
6315,Žďár nad Sázavou,63,42735,10. 10. 2024,3. 10. 2024,"86,6","86,6","121,7","-35,1",25,25,21,64,64,41,57,93,95,100,91,39,29,18,4,7,7,5,9,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,5,7,9,7,20,30,27,55,96,"32,8","32,8","28,1","84,2","84,2","53,8","74,9","121,7","124,0","131,0","119,3","51,5","37,4","23,4","4,7","9,4","9,4","7,0","11,7","0,0","0,0","0,0","2,3","0,0","0,0","2,3","0,0","0,0","0,0","0,0","0,0","2,3","0,0","0,0","0,0","2,3","0,0","2,3","0,0","0,0","0,0","0,0","7,0","9,4","11,7","9,4","25,7","39,8","35,1","72,5","126,4","121,7","128,7","126,4","126,4","110,0","112,3","93,6","86,6"
6401,Blansko,64,57224,10. 10. 2024,3. 10. 2024,"111,8","111,8","108,3","3,5",12,26,26,40,49,45,41,88,98,100,76,29,24,15,11,3,4,2,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,3,1,2,4,1,3,1,2,12,12,10,16,31,49,"29,7","61,2","62,9","94,4","115,3","106,6","97,9","209,7","232,4","237,7","181,7","69,9","57,7","35,0","26,2","7,0","10,5","5,2","1,7","1,7","1,7","0,0","0,0","1,7","1,7","1,7","0,0","0,0","0,0","0,0","3,5","0,0","0,0","0,0","0,0","0,0","0,0","7,0","3,5","5,2","8,7","3,5","7,0","3,5","5,2","28,0","29,7","22,7","38,4","73,4","117,1","108,3","108,3","110,1","110,1","104,9","97,9","103,1","111,8"
6402,Boskovice,64,52822,10. 10. 2024,3. 10. 2024,"49,2","49,2","60,6","-11,4",29,37,41,34,31,37,31,49,78,100,54,46,39,20,14,8,14,2,2,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,2,0,0,3,7,0,2,7,7,22,14,42,"32,2","41,6","45,4","37,9","34,1","41,6","34,1","54,9","87,1","111,7","60,6","51,1","43,5","22,7","15,1","9,5","15,1","1,9","1,9","0,0","3,8","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,9","0,0","0,0","0,0","1,9","0,0","1,9","0,0","0,0","1,9","0,0","0,0","3,8","7,6","0,0","1,9","7,6","7,6","24,6","15,1","47,3","60,6","68,2","68,2","68,2","70,0","64,4","58,7","49,2"
6403,Brno,64,396101,10. 10. 2024,3. 10. 2024,"83,6","83,6","64,6","18,9",20,23,33,32,42,41,49,67,87,100,79,29,30,17,11,11,7,6,2,1,1,1,0,1,1,1,2,0,0,1,0,0,1,0,1,1,1,1,1,2,2,3,3,7,7,8,10,13,18,23,35,"34,1","40,1","57,3","55,3","72,5","71,4","84,3","115,6","150,7","173,2","137,3","50,5","52,0","29,5","18,4","19,2","11,9","9,8","4,3","1,8","1,8","1,5","0,8","2,0","1,5","1,8","2,8","0,8","0,8","1,0","0,8","0,0","1,0","0,8","1,8","2,0","1,5","1,8","1,3","3,8","3,0","5,3","4,5","12,6","12,1","13,1","18,2","22,7","30,8","39,4","61,1","64,6","65,1","64,6","66,6","75,7","77,5","79,3","83,6"
6404,Břeclav,64,59512,10. 10. 2024,3. 10. 2024,"62,2","62,2","28,6","33,6",29,21,11,19,41,39,50,77,100,90,81,34,27,16,13,7,6,3,1,2,1,0,2,0,0,3,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,3,0,2,6,7,7,7,18,17,"43,7","31,9","16,8","28,6","62,2","58,8","75,6","115,9","151,2","136,1","122,7","52,1","40,3","23,5","20,2","10,1","8,4","5,0","1,7","3,4","1,7","0,0","3,4","0,0","0,0","5,0","0,0","0,0","1,7","0,0","0,0","1,7","0,0","0,0","0,0","1,7","0,0","0,0","0,0","1,7","1,7","0,0","5,0","0,0","3,4","8,4","10,1","10,1","10,1","26,9","25,2","28,6","33,6","33,6","33,6","38,6","53,8","60,5","62,2"
6405,Bučovice,64,16573,10. 10. 2024,3. 10. 2024,"60,3","60,3","54,3","6,0",9,12,28,25,47,19,47,84,100,94,59,22,12,6,0,12,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,3,0,0,6,6,3,3,0,12,16,31,"18,1","24,1","54,3","48,3","90,5","36,2","90,5","162,9","193,1","181,0","114,6","42,2","24,1","12,1","0,0","24,1","0,0","0,0","0,0","0,0","0,0","6,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","6,0","0,0","0,0","0,0","0,0","0,0","0,0","6,0","0,0","0,0","6,0","6,0","0,0","0,0","12,1","12,1","6,0","6,0","0,0","24,1","30,2","60,3","54,3","48,3","42,2","42,2","48,3","54,3","60,3","60,3"
6406,Hodonín,64,59847,10. 10. 2024,3. 10. 2024,"120,3","120,3","118,6","1,7",16,34,23,36,41,38,58,61,100,98,78,38,26,15,6,4,1,0,2,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,2,9,10,16,13,18,27,36,"33,4","73,5","50,1","76,9","88,6","81,9","123,6","130,3","213,9","210,5","167,1","81,9","55,1","31,7","13,4","8,4","1,7","0,0","3,3","0,0","1,7","0,0","0,0","0,0","1,7","1,7","0,0","1,7","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,7","0,0","0,0","0,0","0,0","1,7","3,3","5,0","3,3","18,4","21,7","33,4","28,4","38,4","58,5","76,9","118,6","130,3","132,0","130,3","125,3","130,3","120,3","120,3"
6407,Hustopeče,64,37166,10. 10. 2024,3. 10. 2024,"75,3","75,3","70,0","5,4",19,20,30,42,24,19,31,50,62,100,55,30,24,16,4,1,4,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,5,4,0,0,0,1,3,4,8,4,4,16,16,31,"37,7","40,4","59,2","83,4","48,4","37,7","61,9","99,6","123,8","199,1","110,3","59,2","48,4","32,3","8,1","2,7","8,1","0,0","0,0","5,4","0,0","0,0","0,0","2,7","0,0","0,0","0,0","0,0","0,0","0,0","2,7","0,0","0,0","0,0","0,0","2,7","2,7","10,8","8,1","0,0","0,0","0,0","2,7","5,4","8,1","16,1","8,1","8,1","32,3","32,3","61,9","70,0","61,9","61,9","61,9","75,3","80,7","75,3","75,3"
6408,Ivančice,64,25109,10. 10. 2024,3. 10. 2024,"75,7","75,7","63,7","11,9",23,18,49,28,44,41,54,100,100,79,67,28,33,8,13,8,3,8,5,3,3,0,0,3,8,0,3,3,0,0,3,0,0,0,3,5,3,0,0,0,0,0,0,0,10,10,8,8,15,21,36,"35,8","27,9","75,7","43,8","67,7","63,7","83,6","155,3","155,3","123,5","103,5","43,8","51,8","11,9","19,9","11,9","4,0","11,9","8,0","4,0","4,0","0,0","0,0","4,0","11,9","0,0","4,0","4,0","0,0","0,0","4,0","0,0","0,0","0,0","4,0","8,0","4,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","15,9","15,9","11,9","11,9","23,9","31,9","55,8","63,7","55,8","59,7","59,7","67,7","67,7","75,7","75,7"
6409,Kuřim,64,24041,10. 10. 2024,3. 10. 2024,"99,8","99,8","108,1","-8,3",12,11,29,29,24,21,33,53,75,100,65,12,12,13,4,4,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,3,0,5,1,4,4,3,9,13,11,21,31,25,"37,4","33,3","91,5","91,5","74,9","66,6","104,0","166,4","232,9","312,0","203,8","37,4","37,4","41,6","12,5","12,5","4,2","8,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,2","0,0","0,0","0,0","0,0","0,0","8,3","0,0","0,0","0,0","8,3","0,0","16,6","4,2","12,5","12,5","8,3","29,1","41,6","33,3","66,6","95,7","79,0","108,1","83,2","83,2","87,4","99,8","83,2","87,4","99,8"
6410,Kyjov,64,55405,10. 10. 2024,3. 10. 2024,"113,7","113,7","102,9","10,8",17,22,28,43,43,36,46,56,70,100,71,25,32,18,6,1,5,3,3,0,1,1,3,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,2,5,6,12,5,13,11,10,25,44,"41,5","52,3","68,6","104,7","104,7","86,6","110,1","135,4","169,7","241,9","171,5","59,6","77,6","43,3","14,4","3,6","12,6","7,2","7,2","0,0","1,8","3,6","7,2","1,8","1,8","0,0","0,0","0,0","1,8","0,0","0,0","1,8","1,8","0,0","0,0","0,0","0,0","1,8","3,6","1,8","1,8","5,4","12,6","14,4","28,9","12,6","32,5","27,1","25,3","59,6","106,5","102,9","99,3","97,5","97,5","97,5","113,7","111,9","113,7"
6411,Mikulov,64,20898,10. 10. 2024,3. 10. 2024,"95,7","95,7","43,1","52,6",10,18,39,23,24,42,50,50,48,100,56,21,18,16,5,8,3,2,2,0,2,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,2,5,0,0,2,2,8,2,10,6,6,18,16,32,"28,7","52,6","114,8","67,0","71,8","124,4","148,3","148,3","143,6","296,7","167,5","62,2","52,6","47,9","14,4","23,9","9,6","4,8","4,8","0,0","4,8","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,8","0,0","4,8","0,0","4,8","0,0","0,0","0,0","4,8","14,4","0,0","0,0","4,8","4,8","23,9","4,8","28,7","19,1","19,1","52,6","47,9","95,7","43,1","47,9","47,9","52,6","67,0","76,6","90,9","95,7"
6412,Moravský Krumlov,64,22798,10. 10. 2024,3. 10. 2024,"83,3","83,3","105,3","-21,9",14,16,5,30,27,43,68,68,78,100,86,16,30,14,16,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,3,5,14,11,16,8,27,49,"21,9","26,3","8,8","48,2","43,9","70,2","109,7","109,7","127,2","162,3","140,4","26,3","48,2","21,9","26,3","4,4","4,4","0,0","0,0","0,0","0,0","4,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,4","4,4","4,4","8,8","21,9","17,5","26,3","13,2","43,9","79,0","105,3","109,7","109,7","105,3","96,5","96,5","74,6","83,3"
6413,Pohořelice,64,15558,10. 10. 2024,3. 10. 2024,"51,4","51,4","115,7","-64,3",27,23,27,27,27,77,50,92,100,69,69,23,31,15,23,15,0,4,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,8,4,27,23,19,46,"45,0","38,6","45,0","45,0","45,0","128,6","83,6","154,3","167,1","115,7","115,7","38,6","51,4","25,7","38,6","25,7","0,0","6,4","6,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","6,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","12,9","6,4","0,0","12,9","6,4","45,0","38,6","32,1","77,1","115,7","96,4","96,4","96,4","77,1","45,0","32,1","51,4"
6414,Rosice,64,26903,10. 10. 2024,3. 10. 2024,"92,9","92,9","63,2","29,7",22,16,35,45,22,41,51,63,100,88,69,37,20,10,18,4,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,4,8,10,18,18,20,61,"40,9","29,7","63,2","81,8","40,9","74,3","92,9","115,2","182,1","159,8","126,4","66,9","37,2","18,6","33,5","7,4","11,2","0,0","3,7","3,7","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,7","0,0","0,0","0,0","0,0","0,0","0,0","0,0","11,2","7,4","14,9","18,6","33,5","33,5","37,2","111,5","63,2","63,2","59,5","66,9","63,2","85,5","85,5","92,9"
6415,Slavkov u Brna,64,24877,10. 10. 2024,3. 10. 2024,"60,3","60,3","36,2","24,1",18,21,27,55,24,55,70,94,100,100,67,18,33,21,18,0,9,0,3,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,9,3,0,0,0,6,9,6,9,15,6,15,24,36,"24,1","28,1","36,2","72,4","32,2","72,4","92,5","124,6","132,7","132,7","88,4","24,1","44,2","28,1","24,1","0,0","12,1","0,0","4,0","0,0","0,0","4,0","0,0","0,0","0,0","4,0","0,0","0,0","0,0","0,0","4,0","0,0","0,0","0,0","0,0","0,0","4,0","12,1","4,0","0,0","0,0","0,0","8,0","12,1","8,0","12,1","20,1","8,0","20,1","32,2","48,2","36,2","32,2","32,2","32,2","56,3","56,3","56,3","60,3"
