kód,obec,kraj,počet obyv.
5101,Česká Lípa,51,76995
5102,Frýdlant,51,24682
5103,Jablonec nad Nisou,51,57541
5104,Jilemnice,51,22078
5105,Liberec,51,149554
5106,Nový Bor,51,26349
5107,Semily,51,25605
5108,Tanvald,51,20542
5109,Turnov,51,33505
5110,Železný Brod,51,12326
5201,Broumov,52,15665
5202,Dobruška,52,20217
5203,Dvůr Králové nad Labem,52,27118
5204,Hořice,52,18536
5205,Hradec Králové,52,148986
5206,Jaroměř,52,19658
5207,Jičín,52,48653
5208,Kostelec nad Orlicí,52,25176
5209,Náchod,52,60788
5210,Nová Paka,52,13389
5211,Nové Město nad Metují,52,14211
5212,Nový Bydžov,52,18003
5213,Rychnov nad Kněžnou,52,34793
5214,Trutnov,52,62699
5215,Vrchlabí,52,27375
5301,Česká Třebová,53,17834
5302,Hlinsko,53,21127
5303,Holice,53,18656
5304,Chrudim,53,85271
5305,Králíky,53,8557
5306,Lanškroun,53,23082
5307,Litomyšl,53,27691
5308,Moravská Třebová,53,25961
5309,Pardubice,53,134359
5310,Polička,53,19904
5311,Přelouč,53,26522
5312,Svitavy,53,31020
5313,Ústí nad Orlicí,53,26493
5314,Vysoké Mýto,53,32804
5315,Žamberk,53,29480
6301,Bystřice nad Pernštejnem,63,19675
6302,Havlíčkův Brod,63,53841
6303,Humpolec,63,18492
6304,Chotěboř,63,21745
6305,Jihlava,63,102996
6306,Moravské Budějovice,63,22919
6307,Náměšť nad Oslavou,63,13566
6308,Nové Město na Moravě,63,19419
6309,Pacov,63,9478
6310,Pelhřimov,63,46163
6311,Světlá nad Sázavou,63,19590
6312,Telč,63,13045
6313,Třebíč,63,73908
6314,Velké Meziříčí,63,37205
6315,Žďár nad Sázavou,63,42735
6401,Blansko,64,57224
6402,Boskovice,64,52822
6403,Brno,64,396101
6404,Břeclav,64,59512
6405,Bučovice,64,16573
6406,Hodonín,64,59847
6407,Hustopeče,64,37166
6408,Ivančice,64,25109
6409,Kuřim,64,24041
6410,Kyjov,64,55405
6411,Mikulov,64,20898
6412,Moravský Krumlov,64,22798
6413,Pohořelice,64,15558
6414,Rosice,64,26903
6415,Slavkov u Brna,64,24877
6416,Šlapanice,64,72483
6417,Tišnov,64,32576
6418,Veselí nad Moravou,64,36867
6419,Vyškov,64,52824
6420,Znojmo,64,93230
6421,Židlochovice,64,34386
7101,Hranice,71,34376
7102,Jeseník,71,36991
7103,Konice,71,11836
7104,Lipník nad Bečvou,71,15226
7105,Litovel,71,23804
7106,Mohelnice,71,18746
7107,Olomouc,71,167827
7108,Prostějov,71,96881
7109,Přerov,71,78578
7110,Šternberk,71,24028
7111,Šumperk,71,68086
7112,Uničov,71,22281
7113,Zábřeh,71,33142
7201,Bystřice pod Hostýnem,72,15131
7202,Holešov,72,21683
7203,Kroměříž,72,67708
7204,Luhačovice,72,18766
7205,Otrokovice,72,34094
7206,Rožnov pod Radhoštěm,72,35029
7207,Uherské Hradiště,72,89803
7208,Uherský Brod,72,51693
7209,Valašské Klobouky,72,22889
7210,Valašské Meziříčí,72,42503
7211,Vizovice,72,17250
7212,Vsetín,72,64648
7213,Zlín,72,99334
8001,Bílovec,80,25728
8002,Bohumín,80,33644
8003,Bruntál,80,35543
8004,Český Těšín,80,24864
8005,Frenštát pod Radhoštěm,80,19637
8006,Frýdek-Místek,80,112690
8007,Frýdlant nad Ostravicí,80,25418
8008,Havířov,80,85861
8009,Hlučín,80,40416
8010,Jablunkov,80,22480
8011,Karviná,80,61263
8012,Kopřivnice,80,40686
8013,Kravaře,80,21080
8014,Krnov,80,39407
8015,Nový Jičín,80,48690
8016,Odry,80,17073
8017,Opava,80,100305
8018,Orlová,80,36534
8019,Ostrava,80,316149
8020,Rýmařov,80,14884
8021,Třinec,80,54081
8022,Vítkov,80,13241
