kód,obec,kraj,počet obyv.,datum,datum-7,"dnes (ČR: 62,3)",dnes,dnes-7,změna,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51,25.9.24,2.10.24,9.10.24,16.10.24,23.10.24,30.10.24,6.11.24,13.11.24,20.11.24,27.11.24,4.12.24,11.12.24,18.12.24,25.12.24,1.1.25,8.1.25,15.1.25,22.1.25,29.1.25,5.2.25,12.2.25,19.2.25,26.2.25,5.3.25,12.3.25,19.3.25,26.3.25,2.4.25,9.4.25,16.4.25,23.4.25,30.4.25,7.5.25,14.5.25,21.5.25,28.5.25,4.6.25,11.6.25,18.6.25,25.6.25,2.7.25,9.7.25,16.7.25,23.7.25,30.7.25,6.8.25,13.8.25,20.8.25,27.8.25,3.9.25,10.9.25,17.9.25,18.9.25,19.9.25,20.9.25,21.9.25,22.9.25,23.9.25,24.9.25
2020,Příbram,20,71498,24. 9. 2025,17. 9. 2025,"316,1","316,1","311,9","4,2",95,100,92,83,76,69,65,64,65,63,62,62,59,61,59,59,59,59,59,60,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,59,60,60,59,59,59,60,61,66,69,"425,2","449,0","414,0","372,0","339,9","307,7","293,7","289,5","290,9","281,1","279,7","276,9","264,3","274,1","264,3","265,7","264,3","265,7","265,7","267,1","261,5","258,7","260,1","260,1","261,5","261,5","260,1","258,7","258,7","261,5","260,1","258,7","258,7","258,7","258,7","258,7","261,5","261,5","260,1","260,1","261,5","261,5","262,9","268,5","269,9","265,7","262,9","265,7","269,9","274,1","295,1","311,9","309,1","309,1","304,9","302,1","306,3","310,5","316,1"
2021,Rakovník,20,56058,24. 9. 2025,17. 9. 2025,"460,2","460,2","465,6","-5,4",100,99,95,92,91,84,84,84,82,83,81,80,78,78,77,77,78,77,77,77,77,77,77,77,76,76,76,76,76,76,76,76,76,76,77,76,77,77,78,78,77,77,77,77,77,77,79,79,79,79,82,84,"553,0","545,9","522,7","506,6","501,3","463,8","463,8","465,6","453,1","458,5","446,0","444,2","433,5","429,9","424,6","426,3","431,7","426,3","424,6","426,3","426,3","426,3","428,1","426,3","422,8","422,8","422,8","422,8","422,8","422,8","422,8","422,8","422,8","422,8","426,3","422,8","424,6","428,1","429,9","429,9","428,1","428,1","426,3","428,1","428,1","428,1","435,3","437,0","437,0","438,8","454,9","465,6","460,2","460,2","456,7","453,1","447,8","454,9","460,2"
2022,Říčany,20,77533,24. 9. 2025,17. 9. 2025,"237,3","237,3","239,9","-2,6",100,98,96,95,90,86,86,83,81,79,80,78,77,78,79,79,77,75,77,75,75,76,76,76,76,76,76,75,75,77,77,75,75,76,76,75,75,76,76,75,75,75,75,75,75,75,75,75,76,77,79,82,"294,1","288,9","283,8","278,6","265,7","254,1","252,8","243,8","237,3","232,2","236,0","229,6","227,0","229,6","233,4","232,2","225,7","220,6","225,7","221,8","220,6","224,4","224,4","224,4","223,1","223,1","223,1","220,6","221,8","225,7","227,0","220,6","220,6","224,4","224,4","221,8","221,8","223,1","223,1","219,3","220,6","220,6","219,3","219,3","219,3","220,6","221,8","221,8","224,4","227,0","233,4","239,9","238,6","236,0","236,0","234,7","232,2","232,2","237,3"
2023,Sedlčany,20,22121,24. 9. 2025,17. 9. 2025,"253,2","253,2","262,2","-9,0",88,95,91,100,77,70,67,65,61,63,66,68,67,67,62,62,61,60,59,57,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60,60,59,59,59,59,59,59,59,59,59,60,62,61,62,66,71,"325,5","352,6","339,0","370,7","284,8","257,7","248,6","239,6","226,0","235,1","244,1","253,2","248,6","248,6","230,6","230,6","226,0","221,5","217,0","212,5","217,0","217,0","217,0","217,0","217,0","217,0","217,0","217,0","217,0","217,0","217,0","217,0","217,0","217,0","217,0","221,5","221,5","217,0","217,0","217,0","217,0","217,0","217,0","217,0","217,0","217,0","221,5","230,6","226,0","230,6","244,1","262,2","262,2","262,2","257,7","248,6","253,2","253,2","253,2"
2024,Slaný,20,41929,24. 9. 2025,17. 9. 2025,"429,3","429,3","419,8","9,5",97,100,99,100,90,89,85,85,85,85,84,84,85,87,85,85,84,84,87,89,84,85,89,84,82,83,82,82,81,81,81,81,81,81,82,81,81,82,82,82,82,82,83,82,81,81,82,84,84,85,90,91,"446,0","460,3","457,9","460,3","415,0","410,2","391,1","391,1","391,1","393,5","388,8","386,4","391,1","400,7","393,5","393,5","388,8","388,8","398,3","407,8","388,8","393,5","407,8","386,4","379,2","381,6","379,2","379,2","374,4","374,4","374,4","374,4","374,4","374,4","376,8","374,4","374,4","376,8","376,8","379,2","376,8","376,8","381,6","376,8","374,4","374,4","379,2","388,8","386,4","391,1","412,6","419,8","417,4","422,1","422,1","415,0","417,4","424,5","429,3"
2025,Vlašim,20,26226,24. 9. 2025,17. 9. 2025,"526,2","526,2","522,4","3,8",96,96,100,99,100,99,95,95,95,96,96,97,95,93,92,92,92,91,91,91,92,93,93,92,93,93,92,92,91,91,91,91,91,91,91,91,91,92,92,91,92,91,91,91,91,91,91,91,92,92,93,93,"537,6","537,6","560,5","552,9","560,5","552,9","533,8","530,0","530,0","537,6","537,6","541,4","530,0","522,4","514,8","514,8","514,8","510,9","510,9","510,9","514,8","518,6","518,6","514,8","518,6","518,6","514,8","514,8","510,9","510,9","510,9","510,9","510,9","510,9","510,9","510,9","510,9","514,8","514,8","510,9","514,8","510,9","510,9","510,9","510,9","510,9","510,9","510,9","514,8","514,8","518,6","522,4","518,6","522,4","522,4","522,4","522,4","522,4","526,2"
2026,Votice,20,12783,24. 9. 2025,17. 9. 2025,"571,1","571,1","547,6","23,5",98,96,98,100,85,86,86,84,85,85,84,82,85,84,81,80,80,80,81,80,80,80,81,81,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,81,80,80,80,80,82,81,80,80,82,82,82,"649,3","641,5","649,3","664,9","563,2","571,1","571,1","555,4","563,2","563,2","555,4","547,6","563,2","555,4","539,8","532,0","532,0","532,0","539,8","532,0","532,0","532,0","539,8","539,8","532,0","532,0","532,0","532,0","532,0","532,0","532,0","532,0","532,0","532,0","532,0","532,0","532,0","532,0","532,0","532,0","539,8","532,0","532,0","532,0","532,0","547,6","539,8","532,0","532,0","547,6","547,6","547,6","547,6","547,6","547,6","547,6","555,4","571,1","571,1"
3101,Blatná,31,13685,24. 9. 2025,17. 9. 2025,"650,3","650,3","635,7","14,6",85,94,100,89,80,75,77,74,74,72,72,72,72,71,69,69,70,71,70,69,68,68,69,69,68,68,68,68,69,69,69,68,68,68,68,68,68,69,69,68,68,68,68,68,69,71,70,70,73,75,84,82,"657,7","730,7","774,6","686,9","621,1","577,3","599,2","570,0","570,0","555,4","555,4","555,4","555,4","548,0","533,4","533,4","540,7","548,0","540,7","533,4","526,1","526,1","533,4","533,4","526,1","526,1","526,1","526,1","533,4","533,4","533,4","526,1","526,1","526,1","526,1","526,1","526,1","533,4","533,4","526,1","526,1","526,1","526,1","526,1","533,4","548,0","540,7","540,7","562,7","584,6","650,3","635,7","628,4","643,0","628,4","628,4","643,0","643,0","650,3"
3102,České Budějovice,31,166778,24. 9. 2025,17. 9. 2025,"457,5","457,5","438,9","18,6",90,97,100,95,89,82,79,78,77,76,76,77,77,76,75,75,74,74,74,74,74,73,73,74,74,74,73,74,73,73,74,73,73,73,74,73,73,74,74,73,74,73,73,73,74,74,74,74,74,76,77,82,"483,3","521,7","537,8","509,7","480,3","441,9","427,5","422,1","416,7","410,7","409,5","411,9","412,5","411,3","403,5","403,5","400,5","395,7","396,3","399,9","398,7","393,3","393,3","397,5","396,9","395,7","393,9","396,3","395,1","394,5","396,3","393,9","393,3","393,9","395,7","395,1","394,5","396,9","396,3","394,5","396,3","395,1","395,1","393,9","396,9","398,1","398,7","397,5","400,5","407,7","416,7","438,9","437,7","440,7","435,9","433,5","440,7","446,7","457,5"
3103,Český Krumlov,31,41867,24. 9. 2025,17. 9. 2025,"458,6","458,6","434,7","23,9",94,96,94,100,86,84,80,78,77,81,79,80,76,76,76,75,76,77,78,76,76,76,76,77,75,75,75,75,75,75,75,75,75,75,75,76,76,75,75,75,76,76,76,76,76,76,76,76,76,77,80,81,"504,0","515,9","504,0","537,4","461,0","449,0","432,3","418,0","415,6","434,7","422,8","429,9","408,4","408,4","406,0","403,7","408,4","413,2","418,0","408,4","406,0","410,8","410,8","413,2","403,7","401,3","401,3","401,3","401,3","403,7","403,7","403,7","401,3","401,3","403,7","408,4","406,0","401,3","401,3","401,3","406,0","406,0","406,0","406,0","408,4","410,8","410,8","410,8","406,0","415,6","429,9","434,7","432,3","437,1","437,1","437,1","453,8","451,4","458,6"
